Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Alex Abrines\abrinal01,SG,OKC,68,1055,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9
Quincy Acy\acyqu01,PF,TOT,38,558,.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8
Steven Adams\adamsst01,C,OKC,80,2389,.589,.002,.392,13.0,15.5,14.2,5.4,1.8,2.6,16.0,16.2
Arron Afflalo\afflaar01,SG,SAC,61,1580,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4
Alexis Ajinca\ajincal01,C,NOP,39,584,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2
Cole Aldrich\aldrico01,C,MIN,62,531,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4
LaMarcus Aldridge\aldrila01,PF,SAS,72,2335,.532,.053,.258,8.6,16.6,12.7,9.9,1.0,3.1,7.7,24.5
Lavoy Allen\allenla01,PF,IND,61,871,.485,.006,.196,13.7,14.6,14.2,9.1,1.0,2.4,13.7,10.9
Tony Allen\allento01,SG,MEM,71,1914,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9
Al-Farouq Aminu\aminual01,SF,POR,61,1773,.506,.455,.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4
Chris Andersen\anderch01,C,CLE,12,114,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0
Alan Anderson\anderal01,SF,LAC,30,308,.494,.550,.200,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7
Justin Anderson\anderju01,SF,TOT,75,1228,.537,.442,.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9
Kyle Anderson\anderky01,SG,SAS,72,1020,.525,.191,.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1
Ryan Anderson\anderry01,PF,HOU,72,2116,.583,.655,.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9
Giannis Antetokounmpo\antetgi01,SF,MIL,80,2845,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3
Carmelo Anthony\anthoca01,SF,NYK,74,2538,.535,.303,.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1
Joel Anthony\anthojo01,C,SAS,19,122,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7
Trevor Ariza\arizatr01,SF,HOU,80,2773,.548,.695,.158,2.1,15.9,9.0,8.8,2.5,0.6,8.0,14.1
Darrell Arthur\arthuda01,PF,DEN,41,639,.583,.544,.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3
Omer Asik\asikom01,C,NOP,31,482,.517,.000,.600,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8
D.J. Augustin\augusdj01,PG,ORL,78,1538,.524,.530,.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4
Luke Babbitt\babbilu01,SF,MIA,68,1065,.563,.747,.053,1.3,13.5,7.4,4.8,1.0,0.8,8.0,13.0
Ron Baker\bakerro01,SG,NYK,52,857,.456,.396,.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8
Wade Baldwin\baldwwa01,PG,MEM,33,405,.404,.191,.322,3.0,10.2,6.5,22.8,2.3,1.7,23.4,19.2
Leandro Barbosa\barbole01,SG,PHO,67,963,.509,.250,.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0
J.J. Barea\bareajo01,PG,DAL,35,771,.521,.431,.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2
Harrison Barnes\barneha02,PF,DAL,79,2803,.541,.173,.220,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3
Matt Barnes\barnema02,SF,TOT,74,1777,.514,.556,.188,4.6,19.9,12.4,15.6,1.3,1.3,17.3,15.6
Will Barton\bartowi01,SG,DEN,60,1705,.547,.353,.285,3.8,12.8,8.4,17.7,1.4,1.3,11.5,21.1
Brandon Bass\bassbr01,PF,LAC,52,577,.650,.016,.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7
Nicolas Batum\batumni01,SG,CHO,77,2617,.529,.415,.291,1.9,18.4,10.1,27.6,1.6,1.0,15.0,22.3
Jerryd Bayless\bayleje01,PG,PHI,3,71,.453,.156,.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7
Aron Baynes\baynear01,C,DET,75,1163,.570,.000,.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1
Kent Bazemore\bazemke01,SF,ATL,73,1963,.504,.369,.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5
Bradley Beal\bealbr01,SG,WAS,77,2684,.604,.418,.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5
Malik Beasley\beaslma01,SG,DEN,22,165,.536,.384,.137,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0
Michael Beasley\beaslmi01,PF,MIL,56,935,.584,.106,.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3
Marco Belinelli\belinma01,SG,CHO,74,1778,.566,.460,.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2
DeAndre' Bembry\bembrde01,SF,ATL,38,371,.481,.184,.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2
Dragan Bender\bendedr01,PF,PHO,43,574,.440,.627,.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4
Anthony Bennett\bennean01,PF,BRK,23,264,.533,.522,.391,10.1,21.0,15.6,7.1,0.9,0.9,10.0,19.4
Ben Bentil\bentibe01,PF,DAL,3,10,.000,.333,.000,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9
Davis Bertans\bertada01,PF,SAS,67,808,.609,.739,.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7
Patrick Beverley\beverpa01,SG,HOU,67,2058,.546,.530,.175,5.0,15.9,10.4,18.8,2.3,1.0,14.6,14.1
Bismack Biyombo\biyombi01,C,ORL,81,1793,.546,.000,.690,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2
Nemanja Bjelica\bjeline01,PF,MIN,65,1190,.526,.497,.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4
Tarik Black\blackta01,C,LAL,67,1091,.560,.007,.371,13.8,20.7,17.1,5.3,1.3,3.3,14.5,15.7
Eric Bledsoe\bledser01,PG,PHO,66,2176,.563,.300,.443,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1
Bojan Bogdanovic\bogdabo02,SF,TOT,81,2083,.585,.464,.288,1.9,12.3,7.2,8.7,0.8,0.3,12.0,22.4
Andrew Bogut\bogutan01,C,TOT,27,583,.460,.012,.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4
Joel Bolomboy\bolomjo01,PF,UTA,12,53,.590,.250,.375,9.0,27.6,18.5,6.3,1.0,3.1,9.7,18.2
Devin Booker\bookede01,SG,PHO,78,2730,.531,.283,.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6
Trevor Booker\booketr01,PF,BRK,71,1754,.554,.132,.186,8.7,25.5,17.2,12.9,2.1,1.2,16.6,18.7
Avery Bradley\bradlav01,SG,BOS,55,1835,.548,.357,.120,4.0,16.2,10.1,10.9,1.8,0.5,9.7,21.9
Corey Brewer\breweco01,SF,TOT,82,1281,.491,.339,.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3
Malcolm Brogdon\brogdma01,SG,MIL,75,1982,.555,.304,.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5
Aaron Brooks\brookaa01,PG,IND,65,894,.507,.427,.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2
Anthony Brown\brownan02,SF,TOT,11,159,.430,.540,.000,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6
Bobby Brown\brownbo02,PG,HOU,25,123,.509,.583,.033,0.0,5.3,2.7,17.6,0.4,0.0,7.6,22.7
Jaylen Brown\brownja02,SF,BOS,78,1341,.539,.319,.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1
Nicolas Brussino\brussni01,SF,DAL,54,521,.498,.674,.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16.0
Reggie Bullock\bullore01,SF,DET,31,467,.538,.570,.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4
Trey Burke\burketr01,PG,WAS,57,703,.532,.275,.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6
Alec Burks\burksal01,SG,UTA,42,653,.501,.306,.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7
Jimmy Butler\butleji01,SF,CHI,76,2809,.586,.198,.540,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5
Bruno Caboclo\cabocbr01,SF,TOR,9,40,.438,.375,.000,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1
Jose Calderon\caldejo01,PG,TOT,41,539,.506,.478,.090,3.0,12.2,7.5,23.3,1.0,0.2,22.7,14.4
Kentavious Caldwell-Pope\caldwke01,SG,DET,76,2529,.519,.471,.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2
Isaiah Canaan\canaais01,SG,CHI,39,592,.483,.543,.191,1.1,7.9,4.5,9.0,1.9,0.1,9.6,15.3
Clint Capela\capelca01,C,HOU,65,1551,.638,.000,.314,12.5,24.5,18.5,6.9,1.1,4.2,12.0,19.9
DeMarre Carroll\carrode01,SF,TOR,72,1882,.531,.583,.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5
Vince Carter\cartevi01,SF,MEM,73,1799,.542,.604,.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9
Michael Carter-Williams\cartemi01,PG,CHI,45,846,.437,.209,.252,3.0,16.4,9.7,20.0,2.3,2.2,16.3,20.9
Omri Casspi\casspom01,SF,TOT,36,643,.523,.261,.176,4.9,15.2,10.1,8.6,1.8,0.4,14.0,14.5
Willie Cauley-Stein\caulewi01,C,SAC,75,1421,.558,.004,.314,7.0,20.5,13.8,9.4,1.9,2.9,11.2,19.6
Tyson Chandler\chandty01,C,PHO,47,1298,.703,.000,.544,12.6,33.1,22.6,3.3,1.2,1.5,19.2,11.3
Wilson Chandler\chandwi01,SF,DEN,71,2197,.545,.347,.207,5.2,17.7,11.5,9.8,1.2,1.1,10.0,22.0
Marquese Chriss\chrisma01,PF,PHO,82,1743,.529,.354,.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7
Rakeem Christmas\chrisra01,PF,IND,29,219,.529,.000,.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1
Semaj Christon\chrisse01,PG,OKC,64,973,.387,.283,.139,2.2,7.9,5.0,18.1,1.4,0.5,15.4,12.2
Ian Clark\clarkia01,SG,GSW,77,1137,.575,.376,.134,2.3,9.1,5.9,11.2,1.7,0.6,10.7,19.5
Jordan Clarkson\clarkjo01,SG,LAL,82,2397,.526,.332,.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3
Norris Cole\coleno01,PG,OKC,13,125,.381,.250,.192,0.0,9.8,4.9,16.3,3.1,0.0,11.0,21.5
Darren Collison\collida01,PG,SAC,68,2063,.570,.245,.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8
Nick Collison\collini01,PF,OKC,20,128,.622,.043,.348,7.8,18.2,13.0,13.2,0.8,1.2,13.1,10.1
Mike Conley\conlemi01,PG,MEM,69,2292,.604,.415,.365,1.5,10.8,6.0,34.5,2.1,0.8,11.8,26.3
Pat Connaughton\connapa01,SG,POR,39,316,.645,.458,.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0
Quinn Cook\cookqu01,PG,TOT,14,188,.579,.394,.076,0.6,3.6,2.0,22.8,1.1,0.0,16.0,19.6
DeMarcus Cousins\couside01,C,TOT,72,2465,.562,.254,.468,7.1,29.2,18.2,25.8,2.0,3.3,13.5,36.5
Robert Covington\covinro01,SF,PHI,67,2119,.534,.563,.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2
Allen Crabbe\crabbal01,SG,POR,79,2254,.602,.467,.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9
Jamal Crawford\crawfja01,SG,LAC,82,2157,.526,.371,.234,0.9,5.7,3.3,15.1,1.4,0.5,12.3,22.7
Jordan Crawford\crawfjo02,SG,NOP,19,442,.582,.436,.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5
Jae Crowder\crowdja01,SF,BOS,72,2335,.613,.547,.301,2.3,17.3,9.9,10.1,1.5,0.8,8.8,17.0
Dante Cunningham\cunnida01,SF,NOP,66,1649,.586,.504,.075,3.6,14.2,8.9,3.1,1.2,1.4,7.0,10.7
Seth Curry\curryse01,PG,DAL,70,2029,.601,.458,.142,1.4,9.2,5.1,15.9,2.0,0.3,11.0,19.5
Stephen Curry\curryst01,PG,GSW,79,2638,.624,.547,.251,2.7,11.4,7.3,31.1,2.6,0.5,13.0,30.1
Troy Daniels\danietr01,SG,MEM,67,1183,.531,.717,.109,2.0,7.9,4.8,6.6,0.9,0.3,8.0,21.7
Anthony Davis\davisan02,C,NOP,75,2708,.579,.088,.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6
Deyonta Davis\davisde01,C,MEM,36,238,.528,.000,.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12.0
Ed Davis\davised01,PF,POR,46,789,.563,.000,.570,13.4,20.7,17.1,4.8,0.9,2.2,17.2,12.0
Dewayne Dedmon\dedmode01,C,SAS,76,1330,.645,.000,.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3
Sam Dekker\dekkesa01,SF,HOU,77,1419,.549,.436,.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9
Malcolm Delaney\delanma01,PG,ATL,73,1248,.456,.284,.240,1.0,9.8,5.5,23.1,1.5,0.1,18.1,18.3
Matthew Dellavedova\dellama01,PG,MIL,76,1986,.501,.403,.180,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3
Luol Deng\denglu01,SF,LAL,56,1486,.470,.389,.149,4.5,17.7,10.8,7.0,1.6,1.1,8.7,14.2
DeMar DeRozan\derozde01,SG,TOR,74,2620,.552,.080,.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3
Cheick Diallo\diallch01,PF,NOP,17,199,.510,.000,.276,12.1,26.7,19.3,3.2,1.0,2.9,7.6,20.5
Boris Diaw\diawbo01,PF,UTA,73,1283,.494,.248,.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6
Gorgui Dieng\dienggo01,PF,MIN,82,2653,.555,.065,.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0
Spencer Dinwiddie\dinwisp01,PG,BRK,59,1334,.581,.334,.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1
Toney Douglas\douglto01,PG,MEM,24,394,.451,.359,.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4
Goran Dragic\dragigo01,PG,MIA,73,2459,.575,.257,.335,2.7,9.9,6.3,29.0,1.8,0.4,14.1,27.1
Andre Drummond\drumman01,C,DET,81,2409,.518,.008,.390,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4
Jared Dudley\dudleja01,PF,PHO,64,1362,.579,.587,.188,2.4,15.9,9.0,12.5,1.5,0.9,16.1,13.7
Mike Dunleavy\dunlemi02,SF,TOT,53,841,.573,.609,.205,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14.0
Kris Dunn\dunnkr01,PG,MIN,78,1333,.432,.233,.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2
Kevin Durant\duranke01,SF,GSW,62,2070,.651,.304,.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8
Jarell Eddie\eddieja01,SF,PHO,5,62,.523,.842,.474,1.7,10.8,6.1,0.0,0.8,0.0,4.2,16.2
Henry Ellenson\ellenhe01,PF,DET,19,146,.444,.547,.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7
Wayne Ellington\ellinwa01,SG,MIA,62,1500,.565,.710,.077,1.3,8.6,4.9,7.1,1.2,0.2,5.0,17.9
Monta Ellis\ellismo01,SG,IND,74,1998,.514,.242,.230,1.1,10.3,5.7,17.2,2.0,1.2,18.0,16.8
Joel Embiid\embiijo01,C,PHI,31,786,.584,.228,.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0
James Ennis\ennisja01,SF,MEM,64,1501,.581,.427,.343,5.1,14.9,9.9,6.5,1.6,1.2,13.8,13.0
Tyler Ennis\ennisty01,PG,TOT,53,588,.521,.337,.120,1.8,6.8,4.3,21.7,2.1,0.3,17.0,19.1
Tyreke Evans\evansty01,SF,TOT,40,788,.501,.319,.249,1.8,17.1,9.5,25.9,2.2,1.0,12.9,26.7
Dante Exum\exumda01,PG,UTA,66,1228,.521,.410,.201,2.9,9.3,6.2,14.2,0.9,0.8,16.8,18.1
Kenneth Faried\farieke01,PF,DEN,61,1296,.588,.014,.454,15.7,23.6,19.7,6.3,1.6,2.4,10.4,18.3
Jordan Farmar\farmajo01,PG,SAC,2,35,.500,.750,.000,3.3,6.5,4.9,38.6,2.9,0.0,20.0,19.4
Derrick Favors\favorde01,PF,UTA,50,1186,.512,.024,.261,9.2,20.2,14.9,7.9,2.0,2.7,11.4,20.7
Kay Felder\feldeka01,PG,CLE,42,386,.462,.139,.310,0.9,10.5,5.9,22.7,2.3,1.5,14.7,24.3
Cristiano Felicio\feliccr01,C,CHI,66,1040,.601,.000,.419,12.8,19.5,16.1,5.7,1.2,1.2,11.2,12.4
Raymond Felton\feltora01,PG,LAC,80,1700,.496,.280,.125,2.2,11.8,7.1,16.3,2.0,1.1,13.3,16.5
Yogi Ferrell\ferreyo01,PG,TOT,46,1197,.533,.447,.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6
Dorian Finney-Smith\finnedo01,PF,DAL,81,1642,.486,.574,.183,3.7,12.3,7.8,6.0,1.6,1.4,11.1,11.6
Bryn Forbes\forbebr01,SG,SAS,36,285,.462,.535,.061,0.8,8.2,4.6,11.7,0.2,0.0,9.8,17.9
Evan Fournier\fournev01,SG,ORL,68,2234,.555,.387,.298,2.1,8.3,5.1,14.8,1.5,0.1,11.8,23.5
Randy Foye\foyera01,SG,BRK,69,1284,.506,.625,.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4
Tim Frazier\fraziti01,PG,NOP,65,1525,.504,.317,.319,2.3,9.7,6.0,31.4,1.8,0.3,18.0,16.3
Channing Frye\fryech01,C,CLE,74,1398,.612,.644,.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3
Danilo Gallinari\gallida01,SF,DEN,63,2134,.622,.432,.516,2.0,14.7,8.4,9.1,0.9,0.5,8.1,19.9
Langston Galloway\gallola01,PG,TOT,74,1495,.510,.565,.117,1.9,9.3,5.6,9.4,1.5,0.3,7.4,18.4
Patricio Garino\garinpa01,SG,ORL,5,43,.000,.714,.000,2.5,15.6,8.9,0.0,0.0,0.0,30.0,10.2
Marc Gasol\gasolma01,C,MEM,74,2531,.554,.231,.286,2.6,18.7,10.4,24.8,1.4,3.7,11.3,26.4
Pau Gasol\gasolpa01,C,SAS,64,1627,.578,.172,.305,7.6,26.8,17.4,14.7,0.8,3.5,10.6,21.3
Rudy Gay\gayru01,SF,SAC,30,1013,.559,.256,.312,4.0,17.5,10.8,13.9,2.2,2.3,12.8,25.8
Michael Gbinije\gbinimi01,SG,DET,9,32,.184,.400,.200,6.6,3.5,5.1,7.9,0.0,0.0,0.0,15.0
Alonzo Gee\geeal01,SF,DEN,13,89,.306,.214,.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5
Paul George\georgpa01,SF,IND,75,2689,.586,.368,.277,2.5,17.9,10.3,16.1,2.2,0.9,12.6,28.9
Marcus Georges-Hunt\georgma01,SG,ORL,5,48,.614,.286,1.429,2.2,18.7,10.2,8.3,1.0,0.0,14.9,12.3
Jonathan Gibson\gibsojo01,PG,DAL,17,231,.492,.474,.305,0.5,11.1,5.5,18.8,1.8,0.0,16.3,26.3
Taj Gibson\gibsota01,PF,TOT,78,1989,.543,.018,.223,8.6,18.0,13.2,5.9,1.1,2.6,11.9,19.3
Manu Ginobili\ginobma01,SG,SAS,69,1291,.532,.517,.244,2.5,11.1,6.9,20.8,3.2,1.0,16.5,20.4
Rudy Gobert\goberru01,C,UTA,81,2744,.682,.002,.763,13.6,29.5,21.8,5.7,0.9,6.4,15.1,16.7
Archie Goodwin\goodwar01,SG,TOT,15,214,.651,.227,.636,3.5,10.3,6.9,18.5,0.9,1.8,14.2,19.8
Aaron Gordon\gordoaa01,SF,ORL,80,2298,.530,.309,.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1
Eric Gordon\gordoer01,SG,HOU,75,2323,.557,.651,.172,1.4,8.1,4.7,12.3,1.0,1.4,10.0,22.1
Marcin Gortat\gortama01,C,WAS,82,2556,.593,.003,.236,10.6,26.8,18.7,6.8,0.8,2.1,13.7,14.7
Treveon Graham\grahatr01,SG,CHO,27,189,.612,.375,.375,2.9,10.0,6.4,4.7,1.6,0.5,6.0,11.8
Jerami Grant\grantje01,SF,TOT,80,1531,.556,.354,.448,2.7,12.2,7.4,4.2,1.1,4.1,10.1,12.1
